id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
11073,-58.3709017854754,-34.605812942035,NUEVO BANCO DE SANTA FE S.A.,LINK,25 De Mayo 168,CABA,1,False,False,25 De Mayo,168,,San Nicolas,Comuna 1,1002,C1002ABD
11059,-58.3709757833981,-34.6050839250446,BANCO DE LA NACION ARGENTINA,LINK,25 De Mayo 230,CABA,1,False,False,25 De Mayo,230,,San Nicolas,Comuna 1,1002,C1002ABF
11033,-58.3709727797638,-34.6045919138361,BANCO DEL CHUBUT S.A.,LINK,25 De Mayo 267/73,CABA,1,False,False,25 De Mayo,267,,San Nicolas,Comuna 1,1002,C1002ABE
11069,-58.3709827791731,-34.6044499105482,BANCO DE SANTA CRUZ S.A.,LINK,25 De Mayo 279,CABA,1,False,False,25 De Mayo,279,,San Nicolas,Comuna 1,1002,C1002ABE
11046,-58.370993778539,-34.6042959069817,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,25 De Mayo 294 esquina Sarmiento,CABA,1,False,False,25 De Mayo,294,,San Nicolas,Comuna 1,1002,C1002ABF
11020,-58.3711237709099,-34.6024568644006,BANCO DE FORMOSA S.A.,LINK,25 De Mayo 454 piso -,CABA,1,False,False,25 De Mayo,454,,San Nicolas,Comuna 1,1002,C1002ABJ
10883,-58.4191961475733,-34.6512727437165,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,CABA,3,False,False,Abraham Luppi,1090,,Nueva Pompeya,Comuna 4,1437,C1437FRD
11784,-58.413531229957,-34.5564426089084,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,CABA,1,False,False,,0,,,,,
11697,-58.3652916646075,-34.6220423397099,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,CABA,2,False,False,Alicia M. De Justo,2036,,Puerto Madero,Comuna 1,1107,C1107AFP
11381,-58.3855564406903,-34.6110359897049,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,CABA,4,False,False,Alsina,1356,,Monserrat,Comuna 1,,
11396,-58.387486522984,-34.61116298318,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,CABA,1,False,False,Alsina,1502,,Monserrat,Comuna 1,,
