long,lat,telefono,objeto,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.5080720511654,-34.6268150764954,45677038,FARMACIA,AV LOPE DE VEGA,1397.0,AV LOPE DE VEGA,Monte Castro,Comuna 10,1407,C1407BNM
-58.4689759825657,-34.6117065912837,45813798,FARMACIA,AV JUAN B. JUSTO,4995.0,AV JUAN B. JUSTO,Villa Gral. Mitre,Comuna 11,1416,C1416DKD
-58.4093052805893,-34.5917612010672,48246127,FARMACIA,GUEMES,3002.0,GUEMES,Recoleta,Comuna 2,1425,C1425BKD
-58.5248211025968,-34.6396159502234,46410461,FARMACIA,CARHUE,40.0,CARHUE,Liniers,Comuna 9,1408,C1408GBB
-58.5066499006764,-34.6204290376584,45667772,FARMACIA,AV ALVAREZ JONTE,4886.0,AV ALVAREZ JONTE,Monte Castro,Comuna 10,1407,C1407GPP
-58.4730685276207,-34.6147341624871,45813650,FARMACIA,AV JUAN B. JUSTO,5391.0,AV JUAN B. JUSTO,Villa Gral. Mitre,Comuna 11,1416,C1416DKH
-58.4607373411615,-34.5819643320509,45512338,FARMACIA,AV ELCANO,3901.0,AV ELCANO,Villa Ortuzar,Comuna 15,1427,C1427CHD
-58.4675385899902,-34.5627513005287,,FARMACIA,AV MONROE,3195.0,AV MONROE,Coghlan,Comuna 12,1428,C1428BMA
-58.4312376637311,-34.6190991231819,49013252,FARMACIA,DOBLAS,228.0,DOBLAS,Caballito,Comuna 6,1424,C1424BLF
-58.475430633001,-34.6059650568962,45882587,FARMACIA,AV ALVAREZ JONTE,2311.0,AV ALVAREZ JONTE,Villa Del Parque,Comuna 11,1416,C1416EXI
-58.4067079956806,-34.5808106438546,48015981,FARMACIA,CERVIÑO,3365.0,CERVIÑO,Palermo,Comuna 14,1425,C1425AGC
-58.3988675193096,-34.6102617943773,49534678,FARMACIA,PICHINCHA,52.0,PICHINCHA,Balvanera,Comuna 3,1082,C1082ACB
-58.4170867924023,-34.5976587375453,49633129,FARMACIA,AV CORDOBA,3599.0,AV CORDOBA,Palermo,Comuna 14,1188,C1188AAB
-58.4058046357017,-34.5882188107416,48254455 48251511,FARMACIA,JUNCAL,2863.0,JUNCAL,Recoleta,Comuna 2,1425,C1425AYI
-58.5100660636466,-34.66373931634,46870599,FARMACIA,JOSE E. RODO,7202.0,JOSE E. RODO,Mataderos,Comuna 9,1440,C1440ALB
-58.366070868342,-34.6274637125129,43625786,FARMACIA,PI Y MARGALL,725.0,PI Y MARGALL,Boca,Comuna 4,1155,C1155AHC
-58.4701491454416,-34.6470303371374,,FARMACIA,LAGUNA,1384.0,LAGUNA,Parque Avellaneda,Comuna 9,1407,C1407JVV
-58.42816304167,-34.6250530668799,49220207,FARMACIA,AV PEDRO GOYENA,69.0,AV PEDRO GOYENA,Caballito,Comuna 6,1424,C1424BSA
-58.3869584259983,-34.5994736998096,43729633,FARMACIA,AV CORDOBA,1402.0,AV CORDOBA,San Nicolas,Comuna 1,1055,C1055AAR
-58.3908711296024,-34.6344294207626,43042691 43041697,FARMACIA,AV CASEROS,2032.0,AV CASEROS,Parque Patricios,Comuna 4,1264,C1264AAN
-58.4630590908507,-34.555332354623,,FARMACIA,AV CABILDO,2928.0,AV CABILDO,Nuñez,Comuna 13,1429,C1429AAN
-58.4152453389313,-34.6206913507133,47292660 47292670,FARMACIA,AV INDEPENDENCIA,3501.0,AV INDEPENDENCIA,Almagro,Comuna 5,1226,C1226AAA
-58.3922352635311,-34.6183673727072,43817675,FARMACIA,AV INDEPENDENCIA,1834.0,AV INDEPENDENCIA,San Cristobal,Comuna 3,1225,C1225AAN
-58.4884150156899,-34.5777881496034,45216539 45231604,FARMACIA,AV OLAZABAL,5297.0,AV OLAZABAL,Villa Urquiza,Comuna 12,1431,C1431CGI
-58.4793748105058,-34.5569571537132,45412017,FARMACIA,AV DR. RICARDO BALBIN,3496.0,AV DR. RICARDO BALBIN,Coghlan,Comuna 12,1430,C1430AAS
-58.4800149557148,-34.6410751995652,46741414,FARMACIA,LACARRA,688.0,LACARRA,Parque Avellaneda,Comuna 9,1407,C1407JQN
-58.4395623922373,-34.5956962732221,48549402,FARMACIA,GURRUCHAGA,684.0,GURRUCHAGA,Villa Crespo,Comuna 15,1414,C1414DHN
-58.5045151916102,-34.6130178994198,45669767,FARMACIA,SANABRIA,2501.0,SANABRIA,Monte Castro,Comuna 10,1417,C1417AZI
-58.4911332029984,-34.5909064224523,45741657,FARMACIA,ARTIGAS,3700.0,ARTIGAS,Agronomia,Comuna 15,1419,C1419ECD
-58.4989670963,-34.5817499683488,45712960,FARMACIA,,,,,,,
-58.459531965188,-34.6050009330282,45828839,FARMACIA,AV JUAN B. JUSTO,4099.0,AV JUAN B. JUSTO,Villa Gral. Mitre,Comuna 11,1416,C1416DJH
-58.5114087030521,-34.5968168731906,5010023,FARMACIA,HABANA,3806.0,HABANA,Villa Devoto,Comuna 11,1419,C1419GRD
-58.4331376023688,-34.5960412656,47731347,FARMACIA,AV RAUL SCALABRINI ORTIZ,840.0,AV RAUL SCALABRINI ORTIZ,Villa Crespo,Comuna 15,1414,C1414DNV
-58.4044971393873,-34.6122096134724,49318081 52561140,FARMACIA,ADOLFO ALSINA,2701.0,ADOLFO ALSINA,Balvanera,Comuna 3,1090,C1090AAS
-58.4373753854688,-34.6283634769724,49229948,FARMACIA,AV DIRECTORIO,701.0,AV DIRECTORIO,Caballito,Comuna 6,1424,C1424CIH
-58.3977204981353,-34.60734697631,49533468,FARMACIA,TENIENTE GENERAL JUAN D PERON,2200.0,TENIENTE GENERAL JUAN D PERON,Balvanera,Comuna 3,1040,C1040AAH
-58.5028286824007,-34.6516579254643,46352253 46357768,FARMACIA,J B ALBERDI,5855.0,J B ALBERDI,Mataderos,Comuna 9,1440,C1440AAJ
-58.4536877419858,-34.6437502781349,46318179,FARMACIA,AV VARELA,1306.0,AV VARELA,Flores,Comuna 7,1406,C1406ELB
-58.4046173912177,-34.6019997227836,49638998,FARMACIA,TUCUMAN,2686.0,TUCUMAN,Balvanera,Comuna 3,1052,C1052ABF
-58.4162678889159,-34.6038734260704,48626424,FARMACIA,AV CORRIENTES,3650.0,AV CORRIENTES,Almagro,Comuna 5,1194,C1194AAP
-58.434830782628,-34.6006735767969,48560837,FARMACIA,J. RAMIREZ DE VELAZCO,240.0,J. RAMIREZ DE VELAZCO,Villa Crespo,Comuna 15,1414,C1414AQF
-58.501166057174,-34.6040081487804,45015871,FARMACIA,TINOGASTA,3702.0,TINOGASTA,Villa Del Parque,Comuna 11,1417,C1417EIJ
-58.4292866325718,-34.6209608802814,49012603,FARMACIA,FORMOSA,100.0,FORMOSA,Caballito,Comuna 6,1424,C1424BZB
-58.4487034118841,-34.5816268390841,45532124,FARMACIA,AV ALVAREZ THOMAS,302.0,AV ALVAREZ THOMAS,Chacarita,Comuna 15,1427,C1427CCQ
-58.525507413766,-34.6370137986724,46411062,FARMACIA,,,,,,,
-58.4148545366559,-34.6045315422879,48621594,FARMACIA,SANCHEZ DE BUSTAMANTE,462.0,SANCHEZ DE BUSTAMANTE,Almagro,Comuna 5,1173,C1173ABH
-58.5085875056634,-34.6558609261667,46866126,FARMACIA,LISANDRO DE LA TORRE,1741.0,LISANDRO DE LA TORRE,Mataderos,Comuna 9,1440,C1440ECF
-58.4940759903973,-34.567279162447,45411258,FARMACIA,AV TRIUNVIRATO,5602.0,AV TRIUNVIRATO,Villa Urquiza,Comuna 12,1431,C1431FCW
-58.4607310795588,-34.5586188758738,47835080,FARMACIA,MONROE,2499.0,MONROE,Belgrano,Comuna 13,1428,C1428BLM
-58.4808200603911,-34.5678580281905,45461050,FARMACIA,MARIANO ACHA,2719.0,MARIANO ACHA,Villa Urquiza,Comuna 12,1430,C1430DVC
-58.4517010017325,-34.577015777024,45550540,FARMACIA,PALPA,3203.0,PALPA,Colegiales,Comuna 13,1426,C1426DPI
-58.4731460148112,-34.5584193616247,,FARMACIA,IBERA,3300.0,IBERA,Coghlan,Comuna 12,1429,C1429CMZ
-58.4760945405706,-34.660161143829,46013443,FARMACIA,ESCALADA,2399.0,ESCALADA,,,,
-58.486320406937,-34.6403808317407,46717269,FARMACIA,AV JUAN B. ALBERDI,4301.0,AV JUAN B. ALBERDI,Velez Sarsfield,Comuna 10,1407,C1407GZK
-58.494933733973,-34.5736611554451,45212540,FARMACIA,BURELA,2897.0,BURELA,Villa Urquiza,Comuna 12,1431,C1431EHI
-58.4388421862343,-34.5849053345592,47725239,FARMACIA,BONPLAND,1507.0,BONPLAND,Palermo,Comuna 14,1414,C1414CMQ
-58.415824613911,-34.6143140863262,48633815,FARMACIA,MORENO,3489.0,MORENO,Almagro,Comuna 5,1209,C1209ABM
-58.5046317613118,-34.6591580544336,46870346,FARMACIA,AV LISANDRO DE LA TORRE,2101.0,AV LISANDRO DE LA TORRE,Mataderos,Comuna 9,1440,C1440ECJ
-58.5047312209248,-34.5977706382228,,FARMACIA,PEDRO MORAN,3529.0,PEDRO MORAN,Villa Devoto,Comuna 11,1419,C1419HKM
-58.4763229044755,-34.5795442276807,45225357,FARMACIA,AV TRIUNVIRATO,3931.0,AV TRIUNVIRATO,Villa Ortuzar,Comuna 15,1431,C1431FBC
-58.4481086261516,-34.6252699943768,44313379,FARMACIA,AV JUAN B. ALBERDI,1401.0,AV JUAN B. ALBERDI,Caballito,Comuna 6,1406,C1406GRD
-58.4161874007657,-34.6058022599607,48610596,FARMACIA,SARMIENTO,3602.0,SARMIENTO,Almagro,Comuna 5,1196,C1196AAR
-58.4645721876337,-34.6276736332363,46122139,FARMACIA,,,,,,,
-58.3761279420939,-34.6102814901623,,FARMACIA,ALSINA,699.0,ALSINA,Monserrat,Comuna 1,1087,C1087AAI
-58.421105836378,-34.6058646559658,48661040,FARMACIA,TENIENTE GENERAL JUAN D PERON,3899.0,TENIENTE GENERAL JUAN D PERON,Almagro,Comuna 5,1198,C1198AAU
-58.4487858899291,-34.5744590527005,45551476,FARMACIA,TEODORO GARCIA,2902.0,TEODORO GARCIA,Colegiales,Comuna 13,1426,C1426DND
-58.4603195623141,-34.5558856669389,,FARMACIA,VUELTA DE OBLIGADO,2699.0,VUELTA DE OBLIGADO,Belgrano,Comuna 13,1428,C1428ADQ
-58.4459084173517,-34.5712931604253,47774939,FARMACIA,AV FEDERICO LACROZE,2495.0,AV FEDERICO LACROZE,Colegiales,Comuna 13,1426,C1426CPJ
-58.4499522219815,-34.5792733186869,45532540,FARMACIA,AV FEDERICO LACROZE,3322.0,AV FEDERICO LACROZE,Colegiales,Comuna 13,1426,C1426CQT
-58.4983447727297,-34.5910126321605,45715037,FARMACIA,AV SALVADOR MARIA DEL CARRIL,2916.0,AV SALVADOR MARIA DEL CARRIL,Agronomia,Comuna 15,1419,C1419GZV
-58.5075447849769,-34.61007255417,46397592,FARMACIA,SANABRIA,2898.0,SANABRIA,Villa Devoto,Comuna 11,1417,C1417AZP
-58.4213404843261,-34.6449096146543,49227182,FARMACIA,AV LA PLATA,2599.0,AV LA PLATA,Nueva Pompeya,Comuna 4,1437,C1437DHD
-58.4810425704027,-34.6122167704764,45821908,FARMACIA,AV NAZCA,1930.0,AV NAZCA,Villa Santa Rita,Comuna 11,1416,C1416ASV
-58.4457291913577,-34.6621668487791,49189900,FARMACIA,,,,,,,
-58.4300208171897,-34.6106905334337,49829215,FARMACIA,BARTOLOME MITRE,4479.0,BARTOLOME MITRE,Almagro,Comuna 5,1201,C1201ABG
-58.4213735407535,-34.6083987270999,49833717,FARMACIA,AV DIAZ VELEZ,3899.0,AV DIAZ VELEZ,Almagro,Comuna 5,1200,C1200AAF
-58.4658987848516,-34.6248309516038,46133424,FARMACIA,,,,,,,
-58.4541886584682,-34.5596694665158,47819917,FARMACIA,ARCOS,2161.0,ARCOS,Belgrano,Comuna 13,1428,C1428AFG
-58.3877673244745,-34.6030510115068,,FARMACIA,LAVALLE,1500.0,LAVALLE,San Nicolas,Comuna 1,1048,C1048AAJ
-58.4200636770384,-34.5738642810817,47878787 47739116,FARMACIA,FRAY J.S. DE ORO,3018.0,FRAY J.S. DE ORO,Palermo,Comuna 14,1425,C1425FOV
-58.4807954956856,-34.577113479173,,FARMACIA,JURAMENTO,4948.0,JURAMENTO,Villa Urquiza,Comuna 12,1431,C1431CKJ
-58.3921469701809,-34.5828561356135,48041121,FARMACIA,AV PTE. FIGUEROA ALCORTA,2263.0,AV PTE. FIGUEROA ALCORTA,Recoleta,Comuna 2,1425,C1425CKB
-58.4710442601769,-34.565476750226,45456750,FARMACIA,AV MONROE,3592.0,AV MONROE,Belgrano,Comuna 13,1430,C1430BKP
-58.4331311895359,-34.5920749651749,47776201,FARMACIA,AV CORDOBA,4899.0,AV CORDOBA,Palermo,Comuna 14,1414,C1414BAG
-58.4656052815632,-34.5517741861103,47028060,FARMACIA,AV CABILDO,3307.0,AV CABILDO,Nuñez,Comuna 13,1429,C1429AAE
-58.422616210773,-34.5755929434145,47738313,FARMACIA,AV CERVIÑO,4602.0,AV CERVIÑO,Palermo,Comuna 14,1425,C1425AHQ
-58.3876222148203,-34.6148317502365,43814278 43819504 43849085,FARMACIA,VENEZUELA,1502.0,VENEZUELA,Monserrat,Comuna 1,1095,C1095ABF
-58.4096603803173,-34.5785728611312,48044080,FARMACIA,JUAN F. SEGUI,3635.0,JUAN F. SEGUI,Palermo,Comuna 14,1425,C1425ACC
-58.4690454896402,-34.6175812975435,45812840,FARMACIA,AV GAONA,3099.0,AV GAONA,Villa Gral. Mitre,Comuna 11,1416,C1416DSF
-58.462640939429,-34.5618011956616,,FARMACIA,VIDAL,2360.0,VIDAL,Belgrano,Comuna 13,1428,C1428CSL
-58.4537374842173,-34.5667069593993,47844509,FARMACIA,VIRREY DEL PINO,2416.0,VIRREY DEL PINO,Belgrano,Comuna 13,1426,C1426EGR
-58.4750574911666,-34.5526252006328,45429477,FARMACIA,AV CRISOLOGO LARRALDE,3197.0,AV CRISOLOGO LARRALDE,Saavedra,Comuna 12,1429,C1429BTL
-58.3783933181141,-34.6237659962574,43075267 43002034,FARMACIA,TACUARI,1302.0,TACUARI,Constitucion,Comuna 1,1139,C1139AAD
-58.399278496068,-34.6044469739505,49521392,FARMACIA,AV CORRIENTES,2289.0,AV CORRIENTES,Balvanera,Comuna 3,1046,C1046AAA
-58.4696835241495,-34.5444892158929,47031715 48781453,FARMACIA,BESARES,2299.0,BESARES,Nuñez,Comuna 13,1429,C1429DII
-58.4721696248768,-34.5845045567555,45211322,FARMACIA,COMBATIENTES DE MALVINAS,3105.0,COMBATIENTES DE MALVINAS,Villa Ortuzar,Comuna 15,1427,C1427ARB
-58.3868202975948,-34.6026072411464,43717391 52395411,FARMACIA,LAVALLE,1401.0,LAVALLE,San Nicolas,Comuna 1,1048,C1048AAI
-58.4038042726134,-34.5854776517032,48055255,FARMACIA,JOSE PACHECO DE MELO,2902.0,JOSE PACHECO DE MELO,Recoleta,Comuna 2,1425,C1425AUL
-58.4589657615226,-34.5785529885103,45540134,FARMACIA,ALVAREZ THOMAS,1238.0,ALVAREZ THOMAS,Chacarita,Comuna 15,1427,C1427CCZ
-58.523581859687,-34.6227002845254,46411453,FARMACIA,IRIGOYEN,1989.0,IRIGOYEN,Villa Real,Comuna 10,1408,C1408CPO
-58.4883754651097,-34.6293498570309,,FARMACIA,AV SEGUROLA,600.0,AV SEGUROLA,Velez Sarsfield,Comuna 10,1407,C1407ANJ
-58.4968128874372,-34.5764959829143,45720873,FARMACIA,PEDRO I. RIVERA,5801.0,PEDRO I. RIVERA,Villa Urquiza,Comuna 12,1431,C1431BWA
-58.4795389007429,-34.5824602181167,45235779,FARMACIA,AVALOS,1554.0,AVALOS,Parque Chas,Comuna 15,1431,C1431DPD
-58.4598683718034,-34.6227312304387,46330733,FARMACIA,AV AVELLANEDA,2014.0,AV AVELLANEDA,Flores,Comuna 7,1406,C1406FYS
-58.459218078247,-34.6744606242602,46051111,FARMACIA,,,,,,,
-58.5219873506606,-34.633649451912,46440865,FARMACIA,AV JUAN B. JUSTO,9301.0,AV JUAN B. JUSTO,Versalles,Comuna 10,1408,C1408AKK
-58.4449744920963,-34.6069440125422,48540033,FARMACIA,AV ANGEL GALLARDO,1071.0,AV ANGEL GALLARDO,Villa Crespo,Comuna 15,1405,C1405DJK
-58.5109650417832,-34.6418966542697,46413030,FARMACIA,POLA,299.0,POLA,Liniers,Comuna 9,1408,C1408HJE
-58.4108938698311,-34.5953617729137,,FARMACIA,GALLO,1289.0,GALLO,Recoleta,Comuna 2,1425,C1425EFA
-58.3873400910652,-34.5960092306526,48158184 48140460,FARMACIA,URUGUAY,1090.0,URUGUAY,Recoleta,Comuna 2,1016,C1016ACB
