X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.581904705786414;-58.46195935382173; ;14 DE JULIO;1000;414;630000;1521,7;2; ;VILLA ORTUZAR;COMUNA 15;14 DE JULIO 1000;1427;C1427CJT
-34.58870077446615;-58.46506341069311; ;14 DE JULIO;400;400;290000;725;2; ;VILLA ORTUZAR;COMUNA 15;14 DE JULIO 400;1427;C1427CJH
-34.63124822703664;-58.386611430048575; ;15 DE NOVIEMBRE DE 1889;1500;329;360000;1094,2;3; ;CONSTITUCION;COMUNA 1;15 DE NOVIEMBRE DE 1889 1500;1130;C1130ABH
-34.63134181705119;-58.38769449863978; ;15 DE NOVIEMBRE DE 1889;1600;330;340000;1030,3;3; ;CONSTITUCION;COMUNA 1;15 DE NOVIEMBRE DE 1889 1600;1130;C1130ABJ
-34.62941259678266;-58.362339706074586;22/12/2016;20 DE SETIEMBRE;300;670;270000;403;0; ;BOCA;COMUNA 4;20 DE SETIEMBRE 300;1155;C1155ABA
-34.6189515546897;-58.41093655080729;04/01/2017;24 DE NOVIEMBRE;700;351;485000;1381,8;0; ;BALVANERA;COMUNA 3;24 DE NOVIEMBRE 700;1224;C1224AAD
-34.628635829296115;-58.4099268642506; ;24 DE NOVIEMBRE;1500;207;240000;1159,4;4,3; ;SAN CRISTOBAL;COMUNA 3;24 DE NOVIEMBRE 1500;1242;C1242AAF
-34.59407280789468;-58.43428068024446;03/01/2017;ACEVEDO;975;161;320000;1987,6;0; ;VILLA CRESPO;COMUNA 15;ACEVEDO 975;1414;C1414DJS
-34.594561522756216;-58.43524616768118;03/01/2017;ACEVEDO;900;111;280000;2522,5;1,6; ;VILLA CRESPO;COMUNA 15;ACEVEDO 900;1414;C1414DJR
-34.59727054287403;-58.439480604970846;03/01/2017;ACEVEDO;500;850;2500000;2941,2;0; ;VILLA CRESPO;COMUNA 15;ACEVEDO 500;1414;C1414DJJ
 ; ; ;ACEVEDO, EDUARDO;200;185;350000;1891,9;3,5; ;CABALLITO;COMUNA 6; ; ; 
-34.611610246053715;-58.43169517476078; ;ACEVEDO, EDUARDO;400;250;550000;2200;2,5; ;CABALLITO;COMUNA 6;ACEVEDO, EDUARDO 400;1405;C1405BVD
-34.548464810012604;-58.495771134022625; ;ACHA, MARIANO, GRAL.;4999;161;136000;844,7;1; ;SAAVEDRA;COMUNA 12;ACHA, MARIANO, GRAL. 4999;1430;C1430DWU
 ; ; ;ACHEGA;2900;159;300000;1886,8;3; ;VILLA URQUIZA;COMUNA 12; ; ; 
-34.66570303348299;-58.44219961061221; ;ACOSTA, MARIANO;3600;782;320000;409,2;0; ;VILLA SOLDATI;COMUNA 8;ACOSTA, MARIANO 3600;1437;C1437CED
-34.64461933496334;-58.46881085704955;27/12/2016;ACOSTA, MARIANO AV.;1300;487;200000;410,7;1,5; ;PARQUE AVELLANEDA;COMUNA 9;ACOSTA, MARIANO AV. 1300;1407;C1407KBZ
-34.60658355525149;-58.440194855896664;28/12/2016;ACOYTE;1000;105;176000;1676,2;4; ;CABALLITO;COMUNA 6;ACOYTE 1000;1405;C1405BGU
-34.59165819840894;-58.42062312402984; ;ACUÑA DE FIGUEROA, FRANCISCO;1700;172;350000;2034,9;0; ;PALERMO;COMUNA 14;ACUÑA DE FIGUEROA, FRANCISCO 1700;1180;C1180ABF
-34.60065169344389;-58.422279404826604; ;ACUÑA DE FIGUEROA, FRANCISCO;900;189;400000;2116,4;2,8; ;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 900;1180;C1180AAP
-34.60608889487354;-58.422862673357024; ;ACUÑA DE FIGUEROA, FRANCISCO;400;552;750000;1358,7;2,9; ;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 400;1180;C1180AAF
-34.60608889487354;-58.422862673357024; ;ACUÑA DE FIGUEROA, FRANCISCO;400;259;495000;1911,2;0; ;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 400;1180;C1180AAF
-34.64120844838324;-58.415250954714644; ;AGACES;200;332;380000;1144,6;0; ;NUEVA POMPEYA;COMUNA 4;AGACES 200;1437;C1437EAD
-34.593131817359776;-58.408556541581056; ;AGUERO;1400;119;820000;6890,8;4,2; ;RECOLETA;COMUNA 2;AGUERO 1400;1425;C1425EHF
-34.59817104684639;-58.41037613712413;29/12/2016;AGUERO;1000;119;780000;6554,6;0; ;BALVANERA;COMUNA 3;AGUERO 1000;1171;C1171ABP
-34.60415957228329;-58.41182195726428;22/12/2016;AGUERO;500;269;620000;2304,8;4; ;BALVANERA;COMUNA 3;AGUERO 500;1171;C1171ABF
-34.605184401100516;-58.412113265485175;22/12/2016;AGUERO;400;250;630000;2520;4; ;BALVANERA;COMUNA 3;AGUERO 400;1171;C1171ABD
-34.58903436736278;-58.44416164566278;26/12/2016;AGUIRRE;1500;200;350000;1750;0; ;CHACARITA;COMUNA 15;AGUIRRE 1500;1414;C1414ATD
-34.59346931763968;-58.43965178896169; ;AGUIRRE;1000;123;400000;3252;0; ;VILLA CRESPO;COMUNA 15;AGUIRRE 1000;1414;C1414AST
-34.571218944867866;-58.50090265527565; ;AIZPURUA;3300;214;249000;1163,6;1,6; ;VILLA URQUIZA;COMUNA 12;AIZPURUA 3300;1431;C1431ERR
-34.58002068804722;-58.493777249242335; ;AIZPURUA;2300;181;350000;1933,7;3; ;VILLA URQUIZA;COMUNA 12;AIZPURUA 2300;1431;C1431EQB
-34.57697181043513;-58.508714109728096; ;ALBARELLOS AV.;2800;307;260000;846,9;1,2; ;VILLA PUEYRREDON;COMUNA 12;ALBARELLOS AV. 2800;1419;C1419FSR
-34.62471140696562;-58.44634102146399; ;ALBERDI, JUAN BAUTISTA AV.;1300;2286;4900000;2143,5;0; ;CABALLITO;COMUNA 6;ALBERDI, JUAN BAUTISTA AV. 1300;1406;C1406GRO
-34.62965380827006;-58.4564173042529; ;ALBERDI, JUAN BAUTISTA AV.;2000;253;900000;3557,3;5,2; ;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2000;1406;C1406GRV
-34.632097399876564;-58.464318688446625; ;ALBERDI, JUAN BAUTISTA AV.;2600;222;530000;2387,4;5; ;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2600;1406;C1406GSO
-34.632927060572044;-58.46702966603597; ;ALBERDI, JUAN BAUTISTA AV.;2800;580;1150000;1982,8;5,2; ;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2800;1406;C1406GSQ
-34.63333544599544;-58.468344564129694; ;ALBERDI, JUAN BAUTISTA AV.;2900;209;520000;2488;0; ;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2900;1406;C1406GSR
-34.639939360496534;-58.484731887634815; ;ALBERDI, JUAN BAUTISTA AV.;4200;471;590000;1252,7;0; ;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4200;1407;C1407GZV
-34.64049879503809;-58.48591772386711; ;ALBERDI, JUAN BAUTISTA AV.;4300;919;850000;924,9;0; ;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4300;1407;C1407GZW
-34.641323792527864;-58.48765449267195; ;ALBERDI, JUAN BAUTISTA AV.;4400;227;400000;1762,1;0; ;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4400;1407;C1407GZX
-34.641323792527864;-58.48765449267195; ;ALBERDI, JUAN BAUTISTA AV.;4400;425;650000;1529,4;0; ;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4400;1407;C1407GZX
-34.647662217886854;-58.498100017267234;27/12/2016;ALBERDI, JUAN BAUTISTA AV.;5300;451;700000;1552,1;0; ;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 5300;1440;C1440AAQ
-34.653672568558676;-58.5044286692969; ;ALBERDI, JUAN BAUTISTA AV.;6100;640;1650000;2578,1;0; ;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 6100;1440;C1440AAY
-34.656590361629824;-58.5084588608355; ;ALBERDI, JUAN BAUTISTA AV.;6600;447;675000;1510,1;0; ;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 6600;1440;C1440ABQ
-34.65789579363222;-58.510340403846676; ;ALBERDI, JUAN BAUTISTA AV.;6800;307;650000;2117,3;0; ;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 6800;1440;C1440ABS
 ; ;04/01/2017;ALBERTI;3100;262;320000;1221,4;0; ;BALVANERA;COMUNA 3; ; ; 
-34.61208032745448;-58.401513305087214; ;ALBERTI;200;363;480000;1322,3;2,8; ;BALVANERA;COMUNA 3;ALBERTI 200;1082;C1082AAD
-34.62211679758279;-58.40056592454689;04/01/2017;ALBERTI;1100;400;600000;1500;0; ;SAN CRISTOBAL;COMUNA 3;ALBERTI 1100;1223;C1223AAL
-34.62211679758279;-58.40056592454689; ;ALBERTI;1100;215;330000;1534,9;3,5; ;SAN CRISTOBAL;COMUNA 3;ALBERTI 1100;1223;C1223AAL
-34.62346004049073;-58.40037878866482;04/01/2017;ALBERTI;1200;216;330000;1527,8;0; ;SAN CRISTOBAL;COMUNA 3;ALBERTI 1200;1223;C1223AAN
-34.627218676437295;-58.40004527709466;04/01/2017;ALBERTI;1500;185;195000;1054,1;0; ;SAN CRISTOBAL;COMUNA 3;ALBERTI 1500;1247;C1247AAF
-34.62964178367369;-58.39954334445502; ;ALBERTI;1700;160;193000;1206,3;0; ;PARQUE PATRICIOS;COMUNA 4;ALBERTI 1700;1247;C1247AAJ
 ; ; ;ALCARAZ;4200;230;279000;1213;3,5; ;MONTE CASTRO;COMUNA 10; ; ; 
-34.618056131678145;-58.50020641373243;02/01/2017;ALCARAZ;4400;210;350000;1666,7;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 4400;1407;C1407GID
-34.618056131678145;-58.50020641373243; ;ALCARAZ;4400;507;620000;1222,9;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 4400;1407;C1407GID
-34.61967189245708;-58.50291717623314; ;ALCARAZ;4700;140;199500;1425;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 4700;1407;C1407GIJ
-34.61967189245708;-58.50291717623314; ;ALCARAZ;4700;225;305000;1355,6;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 4700;1407;C1407GIJ
-34.620783553601015;-58.505391568034185;28/12/2016;ALCARAZ;4900;432;530000;1226,9;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 4900;1407;C1407GIP
-34.621484309574164;-58.506718927363146; ;ALCARAZ;5000;80;110000;1375;3,5; ;MONTE CASTRO;COMUNA 10;ALCARAZ 5000;1407;C1407GIR
-34.6416005054486;-58.39367167190979; ;ALCORTA, AMANCIO AV.;2300;238;165000;693,3;0; ;PARQUE PATRICIOS;COMUNA 4;ALCORTA, AMANCIO AV. 2300;1283;C1283AAV
 ; ;28/12/2016;ALICANTE;1900;164;182000;1109,8;0; ;VILLA REAL;COMUNA 10; ; ; 
-34.63942622962124;-58.41175214358991; ;ALMAFUERTE AV.;100;2030;4900000;2413,8;0; ;NUEVA POMPEYA;COMUNA 4;ALMAFUERTE AV. 100;1437;C1437JLN
-34.64086600801884;-58.41234550586117;29/12/2016;ALMAFUERTE AV.;200;1343;2500000;1861,5;0; ;PARQUE PATRICIOS;COMUNA 4;ALMAFUERTE AV. 200;1437;C1437JLO
-34.64086600801884;-58.41234550586117; ;ALMAFUERTE AV.;200;1335;2750000;2059,9;3; ;PARQUE PATRICIOS;COMUNA 4;ALMAFUERTE AV. 200;1437;C1437JLO
-34.64451407861939;-58.413826598188315; ;ALMAFUERTE AV.;600;559;750000;1341,7;3; ;NUEVA POMPEYA;COMUNA 4;ALMAFUERTE AV. 600;1437;C1437JLS
-34.61263631955431;-58.40860279297027;28/12/2016;ALSINA, ADOLFO;3000;278;298000;1071,9;2,7; ;BALVANERA;COMUNA 3;ALSINA, ADOLFO 3000;1207;C1207AAD
-34.613043441850124;-58.41134515072037;22/12/2016;ALSINA, ADOLFO;3200;381;480000;1259,8;0; ;BALVANERA;COMUNA 3;ALSINA, ADOLFO 3200;1207;C1207AAH
-34.613043441850124;-58.41134515072037; ;ALSINA, ADOLFO;3200;393;460000;1170,5;2,8; ;BALVANERA;COMUNA 3;ALSINA, ADOLFO 3200;1207;C1207AAH
-34.582265001886405;-58.4867231136899;27/12/2016;ALTOLAGUIRRE;1900;360;460000;1277,8;1,2; ;VILLA URQUIZA;COMUNA 12;ALTOLAGUIRRE 1900;1431;C1431ECJ
-34.58886446432428;-58.48146289904282; ;ALTOLAGUIRRE;1300;140;225000;1607,1;2,4; ;PARQUE CHAS;COMUNA 15;ALTOLAGUIRRE 1300;1427;C1427BHB
-34.60386299890696;-58.471585216668934;02/01/2017;ALVAREZ JONTE;2000;242;450000;1859,5;0; ;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE 2000;1416;C1416EXR
-34.60386299890696;-58.471585216668934; ;ALVAREZ JONTE;2000;241;450000;1867,2;3; ;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE 2000;1416;C1416EXR
-34.60852691734523;-58.481843366279456; ;ALVAREZ JONTE AV.;2800;263;490000;1863,1;0; ;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 2800;1416;C1416EXZ
-34.60924183729293;-58.48497125596829;27/12/2016;ALVAREZ JONTE AV.;3000;155;230000;1483,9;3,6; ;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3000;1416;C1416EYO
-34.60999866282477;-58.48785874967669; ;ALVAREZ JONTE AV.;3200;1645;2500000;1519,8;0; ;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3200;1416;C1416EYQ
-34.61389421721969;-58.494532327671195;29/12/2016;ALVAREZ JONTE AV.;3800;3000;4000000;1333,3;3; ;VILLA DEL PARQUE;COMUNA 11;ALVAREZ JONTE AV. 3800;1407;C1407GOR
-34.61432973847979;-58.495357723190835;28/12/2016;ALVAREZ JONTE AV.;3900;2190;4300000;1963,5;0; ;VILLA DEL PARQUE;COMUNA 11;ALVAREZ JONTE AV. 3900;1407;C1407GOS
-34.61563733312429;-58.49781789886869; ;ALVAREZ JONTE AV.;4100;390;510000;1307,7;0; ;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 4100;1407;C1407GOU
-34.61920907417094;-58.50463255609807; ;ALVAREZ JONTE AV.;4700;1478;2400000;1623,8;3; ;MONTE CASTRO;COMUNA 10;ALVAREZ JONTE AV. 4700;1407;C1407GPN
