#X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.38769449863978;-34.63134181705119;13/06/2017;15 DE NOVIEMBRE DE 1889;1600;330;340000;1030,3;3;17,5;CONSTITUCION;COMUNA 1;15 DE NOVIEMBRE DE 1889 1600;1130;C1130ABJ
-58.37298463225184;-34.58426689061103;08/06/2017;ANTARTIDA ARGENTINA AV.;1400;6885;35000000;5083,5;0;17,5;RETIRO;COMUNA 1;ANTARTIDA ARGENTINA AV. 1400;1104;C1104ACN
-58.37746846390027;-34.61292064558021;09/06/2017;BELGRANO AV.;800;1720;7500000;4360,5;0;17,5;MONSERRAT;COMUNA 1;BELGRANO AV. 800;1092;C1092AAU
-58.38686574568999;-34.62865715196176;12/06/2017;BRASIL;1500;800;600000;750;0;17,5;CONSTITUCION;COMUNA 1;BRASIL 1500;1154;C1154AAZ
-58.37456066383626;-34.61968811694295;07/06/2017;CALVO, CARLOS;614;254;800000;3149,6;0;17,5;SAN TELMO;COMUNA 1;CALVO, CARLOS 614;1102;C1102AAN
-58.37854432741411;-34.619759039806766;12/06/2017;CALVO, CARLOS;900;135;280000;2074,1;5;17,5;CONSTITUCION;COMUNA 1;CALVO, CARLOS 900;1102;C1102AAR
-58.38133719453359;-34.619788895080724;12/06/2017;CALVO, CARLOS;1100;458;650000;1419,2;5;17,5;CONSTITUCION;COMUNA 1;CALVO, CARLOS 1100;1102;C1102AAV
-58.38721122511744;-34.61998376496604;12/06/2017;CALVO, CARLOS;1500;1356;2200000;1622,4;0;17,5;CONSTITUCION;COMUNA 1;CALVO, CARLOS 1500;1102;C1102ABD
-58.38867685633944;-34.62007628397495;09/06/2017;CALVO, CARLOS;1600;275;390000;1418,2;0;17,5;CONSTITUCION;COMUNA 1;CALVO, CARLOS 1600;1102;C1102ABF
-58.38867685633944;-34.62007628397495;12/06/2017;CALVO, CARLOS;1600;520;460000;884,6;3,4;17,5;CONSTITUCION;COMUNA 1;CALVO, CARLOS 1600;1102;C1102ABF
