operacion,tipo,lat,long,m2total,m2cub,direccion,cambio,preciousd,precioars,preciousdm,precioarsm,fot,zona,shape_leng,shape_area,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-34.6046549,-58.424276,209.0,627.0,SARMIENTO 4100,28.0,550000.0,15400000.0,2631.578947,73684.210526,,CENTRO-ESTE,20683.6991448,18261663.0839,SARMIENTO ,4100,ALMAGRO,5.0,1197,C1197AAH
VTA,TERRENO,-34.6042523,-58.4167669,463.0,644.0,MARIO BRAVO 467,28.0,1150000.0,32200000.0,2483.801296,69546.436285,2.5,CENTRO-ESTE,20683.6991448,18261663.0839,MARIO BRAVO ,467,ALMAGRO,5.0,1175,C1175ABG
VTA,TERRENO,-34.615807000000004,-58.420898,355.0,355.0,Belgrano 3800,28.0,360000.0,10080000.0,1014.084507,28394.366197000003,,CENTRO-ESTE,20683.6991448,18261663.0839,Belgrano ,3800,ALMAGRO,5.0,1210,C1210AAS
VTA,TERRENO,-34.61705705,-58.41627686,422.0,0.0,BOEDO 300,28.0,935000.0,26180000.0,2215.63981,62037.914692,,CENTRO-ESTE,20683.6991448,18261663.0839,BOEDO ,300,ALMAGRO,5.0,1206,C1206AAP
VTA,TERRENO,-34.603556,-58.413736,217.0,0.0,SANCHEZ DE BUSTAMANTE 500,28.0,700000.0,19600000.0,3225.806452,90322.58064500001,,CENTRO-ESTE,20683.6991448,18261663.0839,SANCHEZ DE BUSTAMANTE ,500,ALMAGRO,5.0,1173,C1173ABH
VTA,TERRENO,-34.619216929158,-58.414052305774,101.0,0.0,Virrey Liniers 600,28.0,180000.0,5040000.0,1782.178218,49900.990099,,CENTRO-ESTE,20683.6991448,18261663.0839,Virrey Liniers ,600,ALMAGRO,5.0,1220,C1220AAB
VTA,TERRENO,-34.5985831,-58.4251517,366.0,366.0,Palestina,28.0,750000.0,21000000.0,2049.180328,57377.049179999995,2.77,CENTRO-ESTE,20683.6991448,18261663.0839,Palestina,,ALMAGRO,5.0,,
VTA,TERRENO,-34.6144997,-58.416636200000006,193.0,0.0,DR M MORENO 3500,28.0,290000.0,8120000.0,1502.590674,42072.53886,,CENTRO-ESTE,20683.6991448,18261663.0839,DR M MORENO ,3500,ALMAGRO,5.0,,
VTA,TERRENO,-34.6031243,-58.413725199999995,283.0,0.0,HUMAHUACA 3400,28.0,850000.0,23800000.0,3003.533569,84098.939929,,CENTRO-ESTE,20683.6991448,18261663.0839,HUMAHUACA ,3400,ALMAGRO,5.0,1191,C1191ABB
VTA,TERRENO,-34.609452600000004,-58.424727299999994,534.0,0.0,GASCON 200,28.0,980000.0,27440000.0,1835.205993,51385.76779,2.77,CENTRO-ESTE,20683.6991448,18261663.0839,GASCON ,200,ALMAGRO,5.0,1181,C1181ACB
VTA,TERRENO,-34.60729,-58.421962,296.0,0.0,POTOSI 3900,28.0,750000.0,21000000.0,2533.783784,70945.945946,,CENTRO-ESTE,20683.6991448,18261663.0839,POTOSI ,3900,ALMAGRO,5.0,1199,C1199ACD
VTA,TERRENO,-34.6036797,-58.415303200000004,520.0,520.0,AVENIDA CORRIENTES,28.0,1295000.0,36260000.0,2490.384615,69730.769231,4.0,CENTRO-ESTE,20683.6991448,18261663.0839,AVENIDA CORRIENTES,,ALMAGRO,5.0,,
VTA,TERRENO,-34.603176399999995,-58.42653879999999,171.0,0.0,PRINGLES 700,28.0,480000.0,13440000.0,2807.0175440000003,78596.491228,,CENTRO-ESTE,20683.6991448,18261663.0839,PRINGLES ,700,ALMAGRO,5.0,1183,C1183AEL
VTA,TERRENO,-34.613763899999995,-58.42396170000001,626.0,626.0,DON BOSCO 4100,28.0,450000.0,12600000.0,718.8498400000001,20127.795527000002,,CENTRO-ESTE,20683.6991448,18261663.0839,DON BOSCO ,4100,ALMAGRO,5.0,1206,C1206ABN
VTA,TERRENO,-34.6092722,-58.4260855,475.0,475.0,RAWSON 277,28.0,790000.0,22120000.0,1663.1578949999998,46568.421053,,CENTRO-ESTE,20683.6991448,18261663.0839,RAWSON ,277,ALMAGRO,5.0,1182,C1182ACC
VTA,TERRENO,-34.6005375,-58.4162851,140.0,0.0,Lavalle 3600 esq Mario Bravo,28.0,930000.0,26040000.0,6642.857143,186000.0,,CENTRO-ESTE,20683.6991448,18261663.0839,Lavalle ,3600,ALMAGRO,5.0,1190,C1190AAR
VTA,TERRENO,-34.615907799999995,-58.4237069,765.0,0.0,Belgrano 4000,28.0,1500000.0,42000000.0,1960.784314,54901.960784,,CENTRO-ESTE,20683.6991448,18261663.0839,Belgrano ,4000,ALMAGRO,5.0,1210,C1210AAU
VTA,TERRENO,-34.607068,-58.414273,212.0,0.0,Tte. Gral. Juan Domingo Perón 3300,28.0,655000.0,18340000.0,3089.6226420000003,86509.433962,,CENTRO-ESTE,20683.6991448,18261663.0839,Tte. Gral. Juan Domingo Perón ,3300,ALMAGRO,5.0,1198,C1198AAJ
VTA,TERRENO,-34.598505941044,-58.427708260326995,220.0,0.0,Estado de Israel 4300,28.0,1600000.0,44800000.0,7272.727273,203636.363636,,CENTRO-ESTE,20683.6991448,18261663.0839,Estado de Israel ,4300,ALMAGRO,5.0,1185,C1185AAO
VTA,TERRENO,-34.6076282,-58.4269171,105.0,0.0,PJE J KING 300,28.0,260000.0,7280000.0,2476.190476,69333.333333,,CENTRO-ESTE,20683.6991448,18261663.0839,PJE J KING ,300,ALMAGRO,5.0,,
VTA,TERRENO,-34.611058299999996,-58.420189199999996,188.0,650.0,HUMAHUACA 3700,28.0,770000.0,21560000.0,4095.744681,114680.85106400002,3.0,CENTRO-ESTE,20683.6991448,18261663.0839,HUMAHUACA ,3700,ALMAGRO,5.0,1191,C1191ABH
VTA,TERRENO,-34.6111326,-58.419712100000005,527.0,1.0,Colombres 100,28.0,1000000.0,28000000.0,1897.533207,53130.929791,,CENTRO-ESTE,20683.6991448,18261663.0839,Colombres ,100,ALMAGRO,5.0,1177,C1177AAB
VTA,TERRENO,-34.624882899999996,-58.3884943,275.0,275.0,Virrey Cevallos 1400,28.0,300000.0,8400000.0,1090.909091,30545.454545,,CENTRO-ESTE,20683.6991448,18261663.0839,Virrey Cevallos ,1400,CONSTITUCION,1.0,1135,C1135AAD
VTA,TERRENO,-34.6194325,-58.3872198,910.0,910.0,saenz peña 964,28.0,390000.0,10920000.0,428.571429,12000.0,4.16,CENTRO-ESTE,20683.6991448,18261663.0839,saenz peña ,964,CONSTITUCION,1.0,,
VTA,TERRENO,-34.6240821,-58.3896439,230.0,0.0,Solis 1300,28.0,320000.0,8960000.0,1391.3043480000001,38956.521738999996,,CENTRO-ESTE,20683.6991448,18261663.0839,Solis ,1300,CONSTITUCION,1.0,1134,C1134ADB
VTA,TERRENO,-34.6268756,-58.386350199999995,332.0,0.0,Juan de Garay 1400,28.0,640000.0,17920000.0,1927.710843,53975.903613999995,,CENTRO-ESTE,20683.6991448,18261663.0839,Juan de Garay ,1400,CONSTITUCION,1.0,1153,C1153ABY
VTA,TERRENO,-34.6290537,-58.383224399999996,203.0,0.0,Obrien 1200,28.0,330000.0,9240000.0,1625.6157640000001,45517.241379,,CENTRO-ESTE,20683.6991448,18261663.0839,Obrien ,1200,CONSTITUCION,1.0,1137,C1137ABB
VTA,TERRENO,-34.630424100000006,-58.384072399999994,613.0,0.0,Santiago del Estero 1900,28.0,320000.0,8960000.0,522.022838,14616.639478000001,3.0,CENTRO-ESTE,20683.6991448,18261663.0839,Santiago del Estero ,1900,CONSTITUCION,1.0,1136,C1136ABN
